user,ID,rating
abkcppm,84876,10.0
JEZ_revived,84876,10.0
paulrbolton,84876,10.0
RobGanoosh,84876,10.0
michal102,84876,10.0
piotrplaneta,84876,10.0
Nathardicus,84876,10.0
Dinoman73,84876,10.0
Applecar,84876,10.0
Andreas Trieb,84876,10.0
danathjo,84876,10.0
Francescodelaniania,84876,10.0
ArkThatcher,84876,10.0
Nargoth,84876,10.0
CreamofCornwall,84876,10.0
leckwallnut,84876,10.0
CultOfLuna85,84876,10.0
dchamp,84876,10.0
PerfectRoll,84876,10.0
Miguelpas,84876,10.0
Javichu,84876,10.0
B3uh,84876,10.0
bankir1973,84876,10.0
zens0006,84876,10.0
mgcasey300,84876,10.0
hacko2,84876,10.0
HotsuSama,84876,10.0
nuno29,84876,10.0
RafikiNakamun,84876,10.0
bewag,84876,10.0
Errand Boy,84876,10.0
cliffandfern,84876,10.0
BrutusA,84876,10.0
xDAllaNxD,84876,10.0
froggy2288,84876,10.0
wanmei119911,84876,10.0
shjunghaha,84876,10.0
darthspray,84876,10.0
shadexx6,84876,10.0
Giorgiarelly,84876,10.0
Gusty_Aeroplane,84876,10.0
elitesix,84876,10.0
Tenpole,84876,10.0
dseagle,84876,10.0
elGlobo,84876,10.0
snuggly_jason,84876,10.0
Hassard,84876,10.0
SimLu,84876,10.0
carabeglia,84876,10.0
Danieparde,84876,10.0
Price2k_1,84876,10.0
MichiEchelon,84876,10.0
Alex de Mario,84876,10.0
techdudetx,84876,10.0
ceephour,84876,10.0
bonster20,84876,10.0
sangmoon100,84876,10.0
mycdj91,84876,10.0
Felicio,84876,10.0
antonioboderakis,84876,10.0
zxzh,84876,10.0
Vucefalo,84876,10.0
kerastina,84876,10.0
jfroistad,84876,10.0
Marc Altherr,84876,10.0
Mindez,84876,10.0
Katrinelasse,84876,10.0
jerome53240,84876,10.0
K0rthar,84876,10.0
sjsrd,84876,10.0
jazzaero,84876,10.0
isibirko,84876,10.0
mlokm,84876,10.0
djmikymike,84876,10.0
Boardly Games,84876,10.0
Shaxman,84876,10.0
puashey90,84876,10.0
MestreLala,84876,10.0
bales,84876,10.0
littlepapersheep,84876,10.0
zombeefs,84876,10.0
GatthePekerd,84876,10.0
Waldek_J,84876,10.0
popedale,84876,10.0
Joeyjj,84876,10.0
Visioen,84876,10.0
Estemy,84876,10.0
Rigidigi,84876,10.0
danico90,84876,10.0
panagulias,84876,10.0
iLEZ,84876,10.0
rgarza70,84876,10.0
Jarbol,84876,10.0
njingi,84876,10.0
oduck,84876,10.0
DanielRobison,84876,10.0
puppeteer,84876,10.0
lovelace,84876,10.0
0stuart0,84876,10.0
LadyLeonaValdyr,84876,10.0
xeneo,84876,10.0
danwin47,84876,10.0
alynutzy,84876,10.0
Jimking,84876,10.0
rahayes413,84876,10.0
Mikesofl9,84876,10.0
daanenine,84876,10.0
mesudfrey,84876,10.0
matheusgr,84876,10.0
angster,84876,10.0
DapperDano,84876,10.0
pevi,84876,10.0
